Date,Price,Open,High,Low,Vol
9/1/22,438.33,429.6,444.14,426.72,369560684.4
10/1/22,424.54,438.31,445.21,406.46,682635903.6
11/1/22,462.87,424.51,467.4,421.22,797268995.5
12/1/22,487.5,462.89,488.41,456.26,597206894.6
13/01/2022,474.36,487.47,488.5,465.86,596300109.2
14/01/2022,489.51,474.29,492.28,466.39,564250422
15/01/2022,493.75,489.5,500.27,484.01,409461167.3
16/01/2022,497.95,493.75,504.87,488.02,409730380
17/01/2022,474.69,497.94,498.2,466.47,615730353.3
18/01/2022,470.53,474.69,479,456.8,548367911.6
19/01/2022,461.54,470.54,472.59,453.3,509361738.5
20/01/2022,440.05,461.53,478.34,438.1,860227155.7
21/01/2022,383.57,440.07,444.57,373.11,1009568354
22/01/2022,358.34,383.62,388.98,335.68,1086900761
23/01/2022,383.87,358.33,388.97,356.18,717086344.7
24/01/2022,370.93,383.86,383.9,336,860098112.4
25/01/2022,384.8,370.94,387.9,357.32,551247870.8
26/01/2022,374.75,384.8,402.42,366,685222514.4
27/01/2022,389.36,374.78,392.88,359.28,610373096.7
28/01/2022,385.84,389.37,396.39,375.26,652107029.3
29/01/2022,389.04,385.83,397.34,380.53,432614537.7
30/01/2022,376.84,389.04,389.27,372.13,374116904.4
31/01/2022,374.38,376.84,385.1,364.77,432274404.8
1/2/22,383.93,374.4,388.55,373.6,418471603.4
2/2/22,366.94,383.93,385.97,366,392409862.6
3/2/22,372.08,367.01,372.35,359.15,350509524
4/2/22,399.33,372.07,399.42,369.09,539683227.8
5/2/22,413.37,399.33,430.37,396.14,764993398.8
6/2/22,419.64,413.37,421.57,406.28,400023720.9
7/2/22,433.15,419.67,438.58,412.79,503194999.3
8/2/22,407.94,433.14,445.48,406.26,615675365.1
9/2/22,422.57,407.96,427.49,407.22,486652732.5
10/2/22,414.36,422.56,435.13,409.59,713706574
11/2/22,399.81,414.37,418.6,392.5,502188865.9
12/2/22,403.46,399.81,406.99,393.09,353613593.6
13/02/2022,397.82,403.48,407.66,394.38,295439446.6
14/02/2022,403.29,397.83,404.42,390.31,348625546.7
15/02/2022,432.08,403.29,443.3,402.67,806624525.2
16/02/2022,426.98,432.09,433.5,421.91,457961000.7
17/02/2022,401.98,426.98,430.86,399.52,497142924.4
18/02/2022,398.89,402.02,410.96,391.85,442706677.2
